Seeds and Health Food in Bulk | CHIA SEEDS POWDER | CA$11.49
Seeds and Health Food in Bulk | ORGANIC SUNFLOWER SEEDS, RAW, SHELLED | CA$7.99
Seeds and Health Food in Bulk | ORGANIC EUROPEAN SUNFLOWER SEEDS, RAW, SHELLED | CA$7.49
Buckwheat - Grains & Seeds | ORGANIC WHOLE BUCKWHEAT FLOUR, GLUTEN-FREE | CA$10.99
Confetti - Candies | YELLOW CONFETTI | CA$14.99
Watermelon Kernels - Grains & Seeds | ORGANIC WATERMELON KERNELS | CA$19.99
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Organic Dried Fruits - Organic | ORGANIC DESICCATED COCONUT, FINE | CA$7.99
Organic Dried Fruits - Organic | ORGANIC GOLDEN BERRIES | CA$28.99
Buy 100% Organic Products Online | ORGANIC TRAILBLAZER MIX | CA$16.49
Buy 100% Organic Products Online | ORGANIC THOMPSON RAISINS | CA$9.49
Buy 100% Organic Products Online | ORGANIC OAT FLOUR, GLUTEN-FREE, FINE GRIND | CA$17.49
Salad Toppings - Cooking | CRANBERRY & NUT SALAD TOPPER | CA$16.49
Beans Snacks - Snacks & Mixes | BROAD BEANS BBQ, ROASTED, SALTED | CA$10.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$26.49
Shop Almonds, Organic Almonds, Roasted & More at Yupik | PISTACHIO KERNELS, RAW | CA$28.99
Buy your Organic Superfoods easily online | CHLORELLA POWDER | CA$25.99
Inclusions & Topping - Baking | CHOCO-ROCKS | CA$16.49
Organic Chocolates - Organic | ORGANIC COCOA BUTTER WAFERS | CA$22.99
Cooking and Topping - Chocolates | CHOCOLATE MEGA CURLS | CA$14.99
Rye - Grains & Seeds | ORGANIC RYE FLAKES | CA$5.49
Special occasion - Candies | CINNAMON HEARTS | CA$9.99
Special occasion - Candies | ORGANIC GUMMY FRUIT FRIES | CA$22.49
Gingers - Dried Fruits | GINGER SLICES, CRYSTALLIZED | CA$12.49
Gifts | $25 YUPIK GIFT CARD | CA$25.00
Walnuts - Nuts | ORGANIC CALIFORNIA WALNUTS | CA$29.49
Bananas - Dried Fruits | ORGANIC BANANA CHIPS, SWEETENED | CA$7.99
